fecha,Embalse,C2RCC,C2X,C2XC,Medicion
2022-06-01,Aliseda,,,,
2022-06-01,Alpotrel,,,,
2022-06-01,Arrocerezal,,,,
2022-06-01,Brozas,64.12449645996094,187.29441833496094,1013.105224609375,44.79
2022-06-01,Burguillos del Cerro,65.84400177001953,286.9482727050781,977.2525634765625,61.64
2022-06-01,Cantalgallo,,,,
2022-06-01,Carrascalejo,,,,
2022-06-01,El Santo,,,,
2022-06-01,Garciaz,,,,
2022-06-01,Garganta del Obispo,,,,
2022-06-01,Guadalupe,,,,
2022-06-01,Hervas,,,,
2022-06-01,Jaime Ozores,72.49468231201172,600.2240600585938,1164.89208984375,199.83
2022-06-01,Llerena,51.27415084838867,200.79388427734375,212.714111328125,30.43
2022-06-01,Los Angeles,,,,
2022-06-01,Los Huertos,,,,63.4
2022-06-01,Madronnera,,,,6.67
2022-06-01,Majadillas,,,,
2022-06-01,Majarrobledo,,,,
2022-06-01,Membrio,,,,
2022-06-01,Navarredonda,,,,10.53
2022-06-01,Navas del Madronno,26.335416793823242,157.21690368652344,756.1536865234375,29.38
2022-06-01,Nogales,77.0838623046875,2601.061767578125,2601.061767578125,96.46
2022-06-01,Palomero,,,,
2022-06-01,Pretura del Molino,,,,
2022-06-01,Ribera del Castanno,,,,
2022-06-01,Rubiales,23.02342414855957,925.4314575195312,1508.5477294921875,47.49
2022-06-01,San Marcos,,,,35.68
2022-06-01,Santa Lucia,,,,
2022-06-01,Talavan,63.23157501220703,519.4493408203125,2108.463134765625,72.17
2022-06-01,Tres Torres,,,,331.88
2022-06-01,la Pesga,,,,
2022-11-01,Acebo,9.338417053222656,34.60954284667969,283.3525695800781,11.5
2022-11-01,Aguijon,185.20152282714844,1653.4044189453125,5269.5869140625,166.96
2022-11-01,Alcuescar,,,,12.35
2022-11-01,Aldea del Cano,28.03787612915039,437.6027526855469,1343.4189453125,46.81
2022-11-01,Aliseda,21.380159378051758,205.37567138671875,400.6799011230469,14.32
2022-11-01,Alpotrel,23.607215881347656,53.155731201171875,591.9833984375,18.13
2022-11-01,Arrocerezal,19.83660125732422,66.06781768798828,318.05072021484375,18.95
2022-11-01,Brozas,,,,40.0
2022-11-01,Burguillos del Cerro,42.06892013549805,6957.7568359375,6272.890625,201.095
2022-11-01,Cantalgallo,,,,12.2
2022-11-01,Carrascalejo,,,,13.24
2022-11-01,El Santo,84.49751281738281,186.14251708984375,1221.3656005859375,62.78
2022-11-01,Garciaz,,,,16.42
2022-11-01,Garganta del Obispo,0.7855445146560669,36.536563873291016,60.37757873535156,85.33
2022-11-01,Guadalupe,,,,17.09
2022-11-01,Hervas,,,,19.42
2022-11-01,Jaime Ozores,278.71820068359375,2782.395751953125,1540.8839111328125,211.82
2022-11-01,Llerena,154.33985900878906,4771.7978515625,4538.431640625,147.12
2022-11-01,Los Angeles,,,,45.73
2022-11-01,Los Huertos,,,,70.55
2022-11-01,Madronnera,,,,38.93
2022-11-01,Majadillas,20.142675399780273,66.17472839355469,790.1656494140625,25.99
2022-11-01,Majarrobledo,,,,20.48
2022-11-01,Membrio,,,,60.76
2022-11-01,Navarredonda,,,,3.39
2022-11-01,Navas del Madronno,,,,30.53
2022-11-01,Nogales,51.110565185546875,785.6090087890625,1530.708984375,45.815
2022-11-01,Palomero,,,,44.83
2022-11-01,Pretura del Molino,11.098599433898926,52.91696548461914,251.9546356201172,8.41
2022-11-01,Ribera del Castanno,,,,26.99
2022-11-01,Rubiales,90.49251556396484,3213.575927734375,6829.0009765625,204.58
2022-11-01,San Marcos,,,,27.47
2022-11-01,Santa Lucia,,,,11.94
2022-11-01,Talavan,65.12992095947266,540.444580078125,381.9940490722656,45.02
2022-11-01,Tres Torres,,,,278.23
2022-11-01,la Pesga,,,,20.13
